respondent_id,h1n1_vaccine,seasonal_vaccine
53414,0.025628237323681437,0.061534731060241814
53415,0.19693828913491132,0.13058556926585488
53416,0.029789803565171986,0.086937509956812
53417,0.06746353946930922,0.9268382246196106
53418,0.04331058299692358,0.0896437491817859
53419,0.15517801888834046,0.9073661776764895
53420,0.08726644542698277,0.3146597985413644
53421,0.6421792755097739,0.2834289229566529
53422,0.09587501404160688,0.3617349433067333
53423,0.09111087732290217,0.38354963915202256
53424,0.07462455253125526,0.3549882391566518
53425,0.09053955918459707,0.3596000362305184
53426,0.08146634915501377,0.9606690486454331
53427,0.047491260831496455,0.17337120171499318
53428,0.3790417674035791,0.6338079034055191
53429,0.040276411252252564,0.16389219999276977
53430,0.28876929053518435,0.915666002316554
53431,0.0872569701207539,0.36371013395867263
53432,0.7409535653207892,0.9351908696896131
53433,0.12076608254001411,0.5521153903570278
53434,0.232075446294095,0.4999183958168165
53435,0.4502055809175239,0.3894195536642326
53436,0.31441612439588795,0.43176536311482916
53437,0.15589491147418605,0.0805493744637368
53438,0.08077663347579923,0.0901648693192439
53439,0.06908521445282824,0.2652443695432362
53440,0.24548946915643438,0.8610287449124159
53441,0.08686179519707196,0.21626403478305742
53442,0.015500404903197127,0.08797106870963801
53443,0.10909220165935724,0.5042833264063747
53444,0.05585555970791085,0.4969132704103527
53445,0.04788482323214488,0.047597886276688824
53446,0.09958329967517089,0.2077724010409338
53447,0.626262989464325,0.7103860812722559
53448,0.14342237178421297,0.15707629191436306
53449,0.3662151004143244,0.5628626219105596
53450,0.09170351663781132,0.7407454640530403
53451,0.06255784068477103,0.18194675519417802
53452,0.24757366437831368,0.6646347843949845
53453,0.40544006623495643,0.841696130405196
53454,0.27064517602126587,0.48646078154632
53455,0.46745950062661523,0.782716004319262
53456,0.030274509369397407,0.0463555118921865
53457,0.19688290552642937,0.11432911461453822
53458,0.032734621437855514,0.1389763586890061
53459,0.026763481223933447,0.2062826113642239
53460,0.21180501287085915,0.4177057138970346
53461,0.1769233435025518,0.18440556517524917
53462,0.4343567334238447,0.8284090500086077
53463,0.2861658404100791,0.48318279298355404
53464,0.24670822559365418,0.48468781517641946
53465,0.11894334071075607,0.7235018245769234
53466,0.16787735083987715,0.24026317371040767
53467,0.1614303639898276,0.5463229378729575
53468,0.06466054892423313,0.2307306146449498
53469,0.11216117864358016,0.3280241194063494
53470,0.13365018716605317,0.8600013062432249
53471,0.1889653249633169,0.6430252045805287
53472,0.06777306645531955,0.6444525300077592
53473,0.01915937372805248,0.2057592123742983
53474,0.6902005619137114,0.9245605446541166
53475,0.09563559623482337,0.35773316501495356
53476,0.03910081648750178,0.11453898792038979
53477,0.4831888455218157,0.6614383422064524
53478,0.0649725562164453,0.13657396654600795
53479,0.0276161055479551,0.12508876540750755
53480,0.05468859736271618,0.0439953455048368
53481,0.36977164748849384,0.6930714131007021
53482,0.06112550534538847,0.8545130925291335
53483,0.0570300564356283,0.547345672964728
53484,0.050927787829100554,0.0806041123284468
53485,0.22707827068105327,0.9500826723412316
53486,0.12580953822031163,0.3134562758594854
53487,0.27297678226615874,0.8860114403961089
53488,0.5594287090138553,0.5492199819044439
53489,0.6412409726372789,0.8300794212400157
53490,0.1560402659986837,0.6956951402436852
53491,0.18528075461290577,0.9050388033027003
53492,0.27675870570541566,0.6067155047826309
53493,0.41986642741800745,0.864541327511629
53494,0.07466063514476518,0.19549434230291643
53495,0.10969956800433754,0.5574152956750889
53496,0.40805739511852424,0.6094939516694483
53497,0.345107610686485,0.6579526568601598
53498,0.737693359369088,0.9331685768748812
53499,0.5446988279858114,0.8271069425794683
53500,0.05224206399157326,0.16845245568906658
53501,0.06981325204721225,0.23057203440328022
53502,0.023927765403800472,0.44007728830327486
53503,0.036536848654426884,0.05990799759087508
53504,0.10077397033922482,0.1389683553732094
53505,0.1530266487216051,0.8725976412112453
53506,0.01601059190677953,0.07683994540318492
53507,0.3147587369205597,0.4438851183547985
53508,0.41400402395634445,0.6745556786513321
53509,0.3537573971641354,0.42952280021895534
53510,0.7963548757376459,0.9550784734705613
53511,0.30539732222445315,0.7809467671670305
53512,0.1170287424986823,0.03627611638194495
53513,0.1103138241824166,0.4139973842761086
53514,0.23687499813135823,0.13065727577975342
53515,0.8921090649840893,0.8404199772000498
53516,0.2323224175993447,0.5622737161219211
53517,0.025532194704327407,0.42080651343131176
53518,0.01838898727969499,0.18888393774922232
53519,0.13984054103719482,0.40658910425644335
53520,0.058111508296671624,0.0868181228538638
53521,0.42555377490204144,0.6691160624423643
53522,0.11666253717976509,0.09109810031667641
53523,0.03552715161776437,0.6101606326955298
53524,0.8027222527323122,0.8829225185265346
53525,0.04174226536769493,0.19245501832469455
53526,0.5135235245654172,0.8557348806596294
53527,0.05885248784715505,0.4651405753066938
53528,0.1295555189710311,0.37144580157949914
53529,0.11687717102019678,0.49350547764196495
53530,0.11951964005180184,0.4891254165486316
53531,0.18693920107478518,0.4432163990769489
53532,0.10968975544551135,0.5066085516546092
53533,0.1085907916401375,0.32438563799338943
53534,0.0403325714583097,0.19254795770824906
53535,0.07322153055353545,0.23846136801631002
53536,0.7864387310436523,0.9608207704376518
53537,0.7510813047852004,0.7104053004476837
53538,0.14214267911271694,0.19520018569900824
53539,0.09140312225533416,0.7225267156038606
53540,0.11590440089455899,0.5653888180388246
53541,0.33408841309367143,0.605954501998263
53542,0.1264489000657452,0.931424837785116
53543,0.10148880020697419,0.4835653112754716
53544,0.21762368949565888,0.42565213428254395
53545,0.07725087275319466,0.576445381418436
53546,0.2013002711739995,0.14631397633136617
53547,0.15389829679080783,0.774844584483252
53548,0.18855028884327285,0.6317482080936472
53549,0.1766342839712474,0.7838920939473731
53550,0.7823809381789631,0.9409788840947163
53551,0.17459628969854601,0.4771037667001721
53552,0.13691700860518008,0.5621716521095383
53553,0.021898831222985814,0.011915947353254172
53554,0.29290008130612993,0.8246451875243483
53555,0.13786235901053037,0.42018123262450857
53556,0.05007100015834273,0.32667872439940554
53557,0.10846617787261303,0.38900203359116375
53558,0.1851893690840717,0.27874429548408985
53559,0.11298997799995804,0.18478717681652965
53560,0.721818051055826,0.8827855592021816
53561,0.2975015021278751,0.9782949823026856
53562,0.3104263712782965,0.574576338765416
53563,0.0551785063295044,0.07778245593692762
53564,0.12096994304177074,0.13216449229784788
53565,0.4544490961985208,0.8922467565475533
53566,0.1180167892929119,0.5266717571677825
53567,0.037871185350516104,0.418743324708519
53568,0.09193958047110669,0.2849321308229361
53569,0.10896683535695664,0.5974374148546447
53570,0.14604858377113444,0.37119664108360256
53571,0.07552762363823312,0.23141618206478928
53572,0.20749861606949516,0.6597395924466314
53573,0.18648939385352162,0.29664410170979777
53574,0.11082487178671906,0.9453509956906179
53575,0.05105693815116367,0.106610115723717
53576,0.08146075222201783,0.1789973090981987
53577,0.07123254712345946,0.06699425080602167
53578,0.10671704811799491,0.44879397263858645
53579,0.08551030227655464,0.362519036067202
53580,0.46832545768539174,0.3621760098669534
53581,0.13833755499512193,0.3817000131448964
53582,0.8162337365287627,0.8945105941057482
53583,0.13804908755696588,0.6351885045404334
53584,0.1505586884610579,0.10026667136774103
53585,0.12061748938296249,0.195585906821938
53586,0.5400008434594552,0.9203849820778035
53587,0.03989227389412175,0.06435948085411254
53588,0.1729519781529593,0.24876764545343968
53589,0.07070530277497576,0.2328804492987527
53590,0.059905850280698385,0.07558281060672495
53591,0.20433037401822104,0.5289714370799662
53592,0.27263371461152897,0.2808169392032937
53593,0.08661088048427601,0.21051674058048392
